127.0.0.1 - - [16/May/2018:10:17:35 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:37 +0900] "GET /vague/ HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:37 +0900] "GET /vague/css/vague.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:37 +0900] "GET /vague/js/throttleDebounce.js HTTP/1.1" 200 10134
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:37 +0900] "GET /vague/js/jquery.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:37 +0900] "GET /vague/js/jquery.easing.js HTTP/1.1" 200 8072
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:38 +0900] "GET /vague/GoHomeAction.action;jsessionid=5A0F886A013192D568E3303499FE85A7 HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:38 +0900] "GET /vague/LogoImage/retrievalLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:38 +0900] "GET /vague/LogoImage/Login.png HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:38 +0900] "GET /vague/LogoImage/scrollTop.png HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:38 +0900] "GET /vague/LogoImage/mypage.png HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:38 +0900] "GET /vague/LogoImage/headerLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:38 +0900] "GET /vague/LogoImage/administer.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:41 +0900] "GET /vague/ProductListAction.action HTTP/1.1" 200 10621
0:0:0:0:0:0:0:1 - - [16/May/2018:10:17:41 +0900] "GET /vague/LogoImage/Login.png HTTP/1.1" 404 1069
